url;owner;committer;decision;submission date;decision date
https://github.com/apache/drill/pull/460;sudheeshkatkam;<User (sudheeshkatkam)>;merged;2016-04-05 05:00:01;2016-04-07 01:07:31
https://github.com/apache/drill/pull/459;baunz;<User (baunz)>;merged;2016-04-03 09:22:59;2016-06-24 22:12:07
https://github.com/apache/drill/pull/457;jcmcote;<User (jcmcote)>;merged;2016-04-02 03:21:29;2016-04-02 03:22:55
https://github.com/apache/drill/pull/454;vdiravka;<User (vdiravka)>;merged;2016-03-30 12:32:25;2016-05-03 17:51:04
https://github.com/apache/drill/pull/453;vkorukanti;<User (vkorukanti)>;merged;2016-03-30 01:19:05;2016-08-07 21:01:45
https://github.com/apache/drill/pull/452;jaltekruse;<User (jaltekruse)>;merged;2016-03-29 22:05:31;
https://github.com/apache/drill/pull/451;magpierre;<User (magpierre)>;merged;2016-03-29 14:39:47;2016-05-02 07:15:55
https://github.com/apache/drill/pull/450;vkorukanti;<User (vkorukanti)>;merged;2016-03-28 23:51:43;
https://github.com/apache/drill/pull/448;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-03-28 20:13:20;2016-04-07 01:07:31
https://github.com/apache/drill/pull/447;hsuanyi;<User (hsuanyi)>;merged;2016-03-28 01:20:33;
https://github.com/apache/drill/pull/445;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-03-25 18:30:58;2016-04-07 01:07:31
https://github.com/apache/drill/pull/444;jinfengni;<User (jinfengni)>;merged;2016-03-24 18:01:30;
https://github.com/apache/drill/pull/443;adityakishore;<User (adityakishore)>;merged;2016-03-23 22:51:37;
https://github.com/apache/drill/pull/442;adeneche;<User (adeneche)>;merged;2016-03-23 19:04:29;2016-04-06 05:10:39
https://github.com/apache/drill/pull/439;hsuanyi;<User (hsuanyi)>;merged;2016-03-22 17:51:57;2016-05-04 16:28:02
https://github.com/apache/drill/pull/438;hsuanyi;<User (hsuanyi)>;merged;2016-03-22 07:36:41;2016-03-22 14:52:33
https://github.com/apache/drill/pull/436;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-03-21 17:22:01;2016-07-13 04:26:20
https://github.com/apache/drill/pull/433;hsuanyi;<User (hsuanyi)>;merged;2016-03-17 18:46:15;2016-03-21 05:02:07
https://github.com/apache/drill/pull/432;adeneche;<User (adeneche)>;merged;2016-03-16 14:23:01;2016-03-23 20:43:49
https://github.com/apache/drill/pull/431;vdiravka;<User (vdiravka)>;merged;2016-03-16 09:46:07;2016-04-20 05:32:52
https://github.com/apache/drill/pull/427;adityakishore;<User (adityakishore)>;merged;2016-03-12 19:43:11;2016-03-16 17:34:36
https://github.com/apache/drill/pull/426;sudheeshkatkam;<User (sudheeshkatkam)>;merged;2016-03-11 22:59:25;2016-07-23 04:58:59
