url;owner;commenter;decision;submission date;last comment
https://github.com/apache/drill/pull/886;saurabhmahapatra94;paul-rogers;open;2017-07-26 18:59:30;
https://github.com/apache/drill/pull/875;bitblender;paul-rogers;open;2017-07-13 14:33:59;
https://github.com/apache/drill/pull/870;sohami;paul-rogers;open;2017-07-07 01:26:48;
https://github.com/apache/drill/pull/858;kkhatua;laurentgo;open;2017-06-21 01:50:28;
https://github.com/apache/drill/pull/814;ebuildy;ebuildy;open;2017-04-11 10:29:14;
https://github.com/apache/drill/pull/805;vvysotskyi;vvysotskyi;open;2017-04-03 11:59:28;
https://github.com/apache/drill/pull/797;chunhui-shi;paul-rogers;open;2017-03-25 01:55:05;
https://github.com/apache/drill/pull/796;chunhui-shi;paul-rogers;open;2017-03-25 00:14:24;
https://github.com/apache/drill/pull/795;chunhui-shi;paul-rogers;open;2017-03-24 21:17:56;
https://github.com/apache/drill/pull/779;xsq0718;xsq0718;open;2017-03-13 10:18:11;
https://github.com/apache/drill/pull/774;dmitriyHavrilovich;dmitriyHavrilovich;open;2017-03-07 16:34:06;
https://github.com/apache/drill/pull/755;kkhatua;kkhatua;open;2017-02-22 01:24:35;
https://github.com/apache/drill/pull/729;gparai;gparai;open;2017-01-25 23:06:40;
https://github.com/apache/drill/pull/709;paul-rogers;paul-rogers;open;2016-12-28 05:54:27;
https://github.com/apache/drill/pull/700;spanchamiamapr;spanchamiamapr;open;2016-12-21 09:55:32;
https://github.com/apache/drill/pull/671;amansinha100;jinfengni;open;2016-11-29 16:51:28;
https://github.com/apache/drill/pull/668;zhztheplayer;zhztheplayer;open;2016-11-24 13:23:13;
https://github.com/apache/drill/pull/652;ppadma;sohami;open;2016-11-15 01:32:15;
https://github.com/apache/drill/pull/639;ppadma;sohami;open;2016-10-31 16:24:13;
https://github.com/apache/drill/pull/630;aissaelouafi;aissaelouafi;open;2016-10-26 22:08:22;
https://github.com/apache/drill/pull/625;vdiravka;vdiravka;open;2016-10-20 15:43:05;
https://github.com/apache/drill/pull/620;lvxin1986;lvxin1986;open;2016-10-18 03:01:00;
https://github.com/apache/drill/pull/619;chunhui-shi;paul-rogers;open;2016-10-17 03:20:29;
https://github.com/apache/drill/pull/617;joeswingle;joeswingle;open;2016-10-14 17:34:24;
https://github.com/apache/drill/pull/616;lvxin1986;lvxin1986;open;2016-10-14 06:23:29;
https://github.com/apache/drill/pull/615;lvxin1986;lvxin1986;open;2016-10-13 02:13:10;
https://github.com/apache/drill/pull/609;tgrall;chunhui-shi;open;2016-10-11 15:26:17;
https://github.com/apache/drill/pull/608;lvxin1986;lvxin1986;open;2016-10-11 08:48:20;
https://github.com/apache/drill/pull/606;gparai;gparai;open;2016-10-10 23:40:42;
https://github.com/apache/drill/pull/594;Serhii-Harnyk;Serhii-Harnyk;open;2016-09-21 15:13:43;
https://github.com/apache/drill/pull/582;smartloli;smartloli;open;2016-09-08 06:38:22;
https://github.com/apache/drill/pull/580;KulykRoman;paul-rogers;open;2016-09-06 08:58:35;
